term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Winter,COMP233,DDDA,TUT,PROB. & STATS. FOR COMP. SC.,705,815,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,1014,FALSE,NOENG,388
Winter,COMP228,DDDA,TUT,SYSTEM HARDWARE,1230,1330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1004,FALSE,NOENG,389
Winter,COMP233,DDDB,TUT,PROB. & STATS. FOR COMP. SC.,705,815,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1014,FALSE,NOENG,390
Winter,COMP228,DDDB,TUT,SYSTEM HARDWARE,1230,1330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1004,FALSE,NOENG,391
Winter,COMP228,DDDC,TUT,SYSTEM HARDWARE,1230,1330,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1004,FALSE,NOENG,392
Winter,COMP348,E,LEC,PRIN./PROGRAMMING LANGUAGES,885,960,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP249,,1047,TRUE,N,393
Winter,COMP348,E EI,TUT,PRIN./PROGRAMMING LANGUAGES,975,1025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP249,,1047,FALSE,N,394
Winter,COMP348,E EJ,TUT,PRIN./PROGRAMMING LANGUAGES,975,1025,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP249,,1047,FALSE,N,395
Winter,COMP348,E EK,TUT,PRIN./PROGRAMMING LANGUAGES,1040,1090,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP249,,1047,FALSE,N,396
Winter,COMP248,E-X,LAB,OBJ-ORIENTED PROGRAMMING I,815,875,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,,397
Winter,COMP218,EC,LEC,FUNDAMENTALS OF PROGRAMMING,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,1002,TRUE,NOENG,398
Winter,COMP218,EC A,TUT,FUNDAMENTALS OF PROGRAMMING,1065,1165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1002,FALSE,NOENG,399
Winter,COMP218,EC B,TUT,FUNDAMENTALS OF PROGRAMMING,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,1002,FALSE,NOENG,400
Winter,COMP218,EC C,TUT,FUNDAMENTALS OF PROGRAMMING,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,1002,FALSE,NOENG,401
Winter,COMP248,F-X,LAB,OBJ-ORIENTED PROGRAMMING I,815,875,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,TRUE,,402
Winter,COMP248,G-X,LAB,OBJ-ORIENTED PROGRAMMING I,995,1055,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,403
Winter,COMP248,H-X,LAB,OBJ-ORIENTED PROGRAMMING I,995,1055,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,404
Winter,COMP248,I-X,LAB,OBJ-ORIENTED PROGRAMMING I,995,1055,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,405
Winter,COMP335,N,LEC,INTRO/THEORETICAL COMP SCI,705,780,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"(COMP249, COEN244), (COMP238, COMP232, COEN231)",,6655,TRUE,N,406
Winter,COMP476,N,LEC,ADVANCED GAME DEVELOPMENT,885,960,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"COMP376, (COMP361, ENGR391)",,,TRUE,,407
Winter,COMP233,N,LEC,PROB. & STATS. FOR COMP. SC.,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1015,TRUE,NOENG,408
Winter,COMP335,N NA,TUT,INTRO/THEORETICAL COMP SCI,795,845,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"(COMP249, COEN244), (COMP238, COMP232, COEN231)",,6655,FALSE,N,409
Winter,COMP233,N NA,TUT,PROB. & STATS. FOR COMP. SC.,885,995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1015,FALSE,NOENG,410
Winter,COMP335,N NB,TUT,INTRO/THEORETICAL COMP SCI,795,845,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP249, COEN244), (COMP238, COMP232, COEN231)",,6655,FALSE,N,411
Winter,COMP233,N NB,TUT,PROB. & STATS. FOR COMP. SC.,885,995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1015,FALSE,NOENG,412
Winter,COMP361,NN,LEC,ELEMENTARY NUMERICAL METHODS,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"COMP249, (COMP238, COMP232)",,4799,TRUE,,413
Winter,COMP442,NN,LEC,COMPILER DESIGN,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228, COEN 311), COMP 335, (COMP 352, COEN 352)",,,TRUE,NOENG,414
Winter,COMP472,NN,LEC,ARTIFICIAL INTELLIGENCE,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,415
Winter,COMP346,NN,LEC,OPERATING SYSTEMS,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7331,TRUE,N,416
Winter,COMP232,NN,LEC,MATH. FOR COMPUTER SCIENCE,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,1011,TRUE,NOENG,417
Winter,COMP232,NNNA,TUT,MATH. FOR COMPUTER SCIENCE,1230,1330,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,1011,FALSE,NOENG,418
Winter,COMP346,NNNA,TUT,OPERATING SYSTEMS,1230,1280,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7331,TRUE,N,419
Winter,COMP361,NNNA,TUT,ELEMENTARY NUMERICAL METHODS,1230,1280,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"COMP249, (COMP238, COMP232)",,4799,FALSE,,420
Winter,COMP232,NNNB,TUT,MATH. FOR COMPUTER SCIENCE,1230,1330,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1011,FALSE,NOENG,421
Winter,COMP346,NNNB,TUT,OPERATING SYSTEMS,795,845,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7331,TRUE,N,422
Winter,COMP472,NNNI,LAB,ARTIFICIAL INTELLIGENCE,1225,1345,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,423
Winter,COMP472,NNNJ,LAB,ARTIFICIAL INTELLIGENCE,1065,1185,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,424
Winter,COMP472,NNNK,LAB,ARTIFICIAL INTELLIGENCE,1225,1345,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,425
Winter,COMP472,NNNL,LAB,ARTIFICIAL INTELLIGENCE,1225,1345,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,426
Winter,COMP472,NNNM,LAB,ARTIFICIAL INTELLIGENCE,1225,1345,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,427
Winter,COMP472,NNNN,LAB,ARTIFICIAL INTELLIGENCE,1065,1185,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,428
Winter,COMP472,NNNO,LAB,ARTIFICIAL INTELLIGENCE,1065,1185,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,429
