term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Winter	COMP	249	A-X	LAB	OBJ-ORIENTED PROGRAMMING II	H811	16.30.00	17.30.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	20	COMP248				
Winter	COMP	248	A-X	LAB	OBJ-ORIENTED PROGRAMMING I	H831	20.00.00	21.00.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	28					
Winter	COMP	248	C-X	LAB	OBJ-ORIENTED PROGRAMMING I	H917	20.00.00	21.00.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	25					
Winter	COMP	248	D-X	LAB	OBJ-ORIENTED PROGRAMMING I	H831	13.35.00	14.35.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	28					
Winter	COMP	228	DD	LEC	SYSTEM HARDWARE	H415	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	105			SOEN 228	1004	NOENG
Winter	COMP	233	DD	LEC	PROB. & STATS. FOR COMP. SC.	GNM100	17.45.00	20.15.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	100				1014	NOENG
Winter	COMP	233	DDDA	TUT	PROB. & STATS. FOR COMP. SC.	H631	11.45.00	13.35.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	50				1014	NOENG
Winter	COMP	228	DDDA	TUT	SYSTEM HARDWARE	H513	20.30.00	22.10.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	35			SOEN 228	1004	NOENG
Winter	COMP	233	DDDB	TUT	PROB. & STATS. FOR COMP. SC.	H631	11.45.00	13.35.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	50				1014	NOENG
Winter	COMP	228	DDDB	TUT	SYSTEM HARDWARE	H540	20.30.00	22.10.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	35			SOEN 228	1004	NOENG
Winter	COMP	228	DDDC	TUT	SYSTEM HARDWARE	H564	20.30.00	22.10.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	35			SOEN 228	1004	NOENG
Winter	COMP	348	E	LEC	PRIN./PROGRAMMING LANGUAGES	H415	14.45.00	16.00.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	105	COMP249			1047	N
Winter	COMP	348	E EI	TUT	PRIN./PROGRAMMING LANGUAGES	H540	16.15.00	17.05.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	39	COMP249			1047	N
Winter	COMP	348	E EJ	TUT	PRIN./PROGRAMMING LANGUAGES	H625	16.15.00	17.05.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	36	COMP249			1047	N
Winter	COMP	348	E EK	TUT	PRIN./PROGRAMMING LANGUAGES	H540	17.20.00	18.10.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	30	COMP249			1047	N
Winter	COMP	248	E-X	LAB	OBJ-ORIENTED PROGRAMMING I	H903	13.35.00	14.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	38					
Winter	COMP	218	EC	LEC	FUNDAMENTALS OF PROGRAMMING	ONLINE	00.00.00	00.00.00	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	160				1002	NOENG
Winter	COMP	218	EC A	TUT	FUNDAMENTALS OF PROGRAMMING	H967	17.45.00	19.25.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	60				1002	NOENG
Winter	COMP	218	EC B	TUT	FUNDAMENTALS OF PROGRAMMING	H967	10.15.00	11.55.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	60				1002	NOENG
Winter	COMP	218	EC C	TUT	FUNDAMENTALS OF PROGRAMMING	H903	10.15.00	11.55.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	40				1002	NOENG
Winter	COMP	248	F-X	LAB	OBJ-ORIENTED PROGRAMMING I	H907	13.35.00	14.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	38					
Winter	COMP	248	G-X	LAB	OBJ-ORIENTED PROGRAMMING I	H903	16.35.00	17.35.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	35					
Winter	COMP	248	H-X	LAB	OBJ-ORIENTED PROGRAMMING I	H817	16.35.00	17.35.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	25					
Winter	COMP	248	I-X	LAB	OBJ-ORIENTED PROGRAMMING I	H831	16.35.00	17.35.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	28					
